"term","estimate","std_error","t_stat","p_value","equation","model","pair"
"log_Trucking_LD_LTL.dl5",-0.140394305494764,0.0774784064206801,-1.81204430990065,0.0718781291085762,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_IC.dl5",0.631938146557372,0.199636832124943,3.16543866094746,0.0018582226865812,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"ect1",-0.00893310273231189,0.0105751747417058,-0.844723888777178,0.399542290539333,"log_IC","Model 1","log LTL trucking + log IC"
"constant",0.0601574018020543,0.0699522746926525,0.859977778655038,0.391104283119402,"log_IC","Model 1","log LTL trucking + log IC"
"sd1",0.00141992758658672,0.00209203903039471,0.678729013157477,0.498302528902892,"log_IC","Model 1","log LTL trucking + log IC"
"sd2",0.00214070333836905,0.00198299413704494,1.07953084599591,0.281996330271926,"log_IC","Model 1","log LTL trucking + log IC"
"sd3",0.00320713293906538,0.00203592149590316,1.57527338137498,0.117193557219426,"log_IC","Model 1","log LTL trucking + log IC"
"sd4",0.00231531070863112,0.00200431386387691,1.15516374474039,0.249767364531265,"log_IC","Model 1","log LTL trucking + log IC"
"sd5",0.00194380301413351,0.00202360866978441,0.960562703232832,0.338239760620043,"log_IC","Model 1","log LTL trucking + log IC"
"sd6",0.00131646325826638,0.00201945688891187,0.651889755851991,0.51541945496452,"log_IC","Model 1","log LTL trucking + log IC"
"sd7",0.00287186526590149,0.00197188497398774,1.45640608036772,0.147264724170209,"log_IC","Model 1","log LTL trucking + log IC"
"sd8",0.00289313850336947,0.00200423937431005,1.44350946321739,0.150856811023957,"log_IC","Model 1","log LTL trucking + log IC"
"sd9",0.00234079091137233,0.00204202138315956,1.14631067562598,0.253399714055544,"log_IC","Model 1","log LTL trucking + log IC"
"sd10",0.000273902256659934,0.00199356645330561,0.13739309076242,0.890895020137968,"log_IC","Model 1","log LTL trucking + log IC"
"sd11",0.00364611646650703,0.002088762075283,1.74558725938809,0.0828266115853273,"log_IC","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl1",0.0169451346745573,0.0306776618357951,0.552360697019794,0.581481781681237,"log_IC","Model 1","log LTL trucking + log IC"
"log_IC.dl1",0.27966925144614,0.078984540459917,3.54081000937223,0.000524387769518659,"log_IC","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl2",0.0271518853403539,0.030788528518565,0.881883176845614,0.379179632507084,"log_IC","Model 1","log LTL trucking + log IC"
"log_IC.dl2",0.0953105696204909,0.0835120986266525,1.14127858343717,0.255480820616215,"log_IC","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl3",-0.000933190037110455,0.0307141353594395,-0.0303830801743099,0.975799883661574,"log_IC","Model 1","log LTL trucking + log IC"
"log_IC.dl3",0.239470651218205,0.0827093522417055,2.89532736900645,0.00432418658176043,"log_IC","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl4",-0.007380982748117,0.0307148851072713,-0.240306376609876,0.810404260014995,"log_IC","Model 1","log LTL trucking + log IC"
