"run","Model","ic_series","dummies","ecdet","lag_rule","K","cv_valid","test","hypothesis","statistic","cv_10pct","cv_5pct","cv_1pct","reject_5pct"
"A_common_censusIC","LTL","Total_Inventories","za_step","const","AIC",6,FALSE,"eigen","r = 0",20.8779338457108,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","AIC",6,FALSE,"eigen","r <= 1",4.89410433111019,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","SBC",2,FALSE,"trace","r = 0",42.7170208701162,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","SBC",2,FALSE,"trace","r <= 1",6.66186150380749,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","SBC",2,FALSE,"eigen","r = 0",36.0551593663087,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","const","SBC",2,FALSE,"eigen","r <= 1",6.66186150380746,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","AIC",6,FALSE,"trace","r = 0",39.0045390200021,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","AIC",6,FALSE,"trace","r <= 1",13.8019717549108,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","AIC",6,FALSE,"eigen","r = 0",25.2025672650913,16.85,18.96,23.65,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","AIC",6,FALSE,"eigen","r <= 1",13.8019717549108,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","SBC",2,FALSE,"trace","r = 0",34.5169757313681,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","SBC",2,FALSE,"trace","r <= 1",13.0308168570598,10.49,12.25,16.26,TRUE
